,training_set,test_set,feature_set,feature_type,model_type,accuracy
73,neutral_disgust,neutral_disgust,disgust,distance,ExtraTreeClassifier,66.16666666666667
74,neutral_disgust,neutral_disgust,neutral_disgust,distance,ExtraTreeClassifier,80.58333333333334
75,neutral,neutral,neutral,distance,LogisticRegression,94.66666666666666
76,neutral,neutral,disgust,distance,LogisticRegression,82.38888888888889
77,neutral,neutral,neutral_disgust,distance,LogisticRegression,94.77777777777777
78,neutral,disgust,neutral,distance,LogisticRegression,62.44444444444445
79,neutral,disgust,disgust,distance,LogisticRegression,44.0
80,neutral,disgust,neutral_disgust,distance,LogisticRegression,67.66666666666667
81,disgust,neutral,neutral,distance,LogisticRegression,52.49999999999999
82,disgust,neutral,disgust,distance,LogisticRegression,29.944444444444446
83,disgust,neutral,neutral_disgust,distance,LogisticRegression,54.50000000000001
84,disgust,disgust,neutral,distance,LogisticRegression,96.05555555555554
85,disgust,disgust,disgust,distance,LogisticRegression,88.83333333333333
86,disgust,disgust,neutral_disgust,distance,LogisticRegression,97.94444444444444
87,neutral_disgust,neutral_disgust,neutral,distance,LogisticRegression,91.69444444444444
88,neutral_disgust,neutral_disgust,disgust,distance,LogisticRegression,77.66666666666667
89,neutral_disgust,neutral_disgust,neutral_disgust,distance,LogisticRegression,97.66666666666667
90,neutral,neutral,neutral,distance,Perceptron,58.333333333333336
91,neutral,neutral,disgust,distance,Perceptron,41.88888888888889
92,neutral,neutral,neutral_disgust,distance,Perceptron,81.83333333333334
93,neutral,disgust,neutral,distance,Perceptron,33.72222222222222
94,neutral,disgust,disgust,distance,Perceptron,23.166666666666668
95,neutral,disgust,neutral_disgust,distance,Perceptron,47.666666666666664
96,disgust,neutral,neutral,distance,Perceptron,29.777777777777782
97,disgust,neutral,disgust,distance,Perceptron,15.055555555555555
98,disgust,neutral,neutral_disgust,distance,Perceptron,39.888888888888886
99,disgust,disgust,neutral,distance,Perceptron,59.5
100,disgust,disgust,disgust,distance,Perceptron,45.5
101,disgust,disgust,neutral_disgust,distance,Perceptron,86.50000000000001
102,neutral_disgust,neutral_disgust,neutral,distance,Perceptron,54.25
103,neutral_disgust,neutral_disgust,disgust,distance,Perceptron,39.111111111111114
104,neutral_disgust,neutral_disgust,neutral_disgust,distance,Perceptron,84.8888888888889
105,neutral,neutral,neutral,distance,KNeighborsClassifier,51.944444444444436
106,neutral,neutral,disgust,distance,KNeighborsClassifier,47.833333333333336
107,neutral,neutral,neutral_disgust,distance,KNeighborsClassifier,52.66666666666667
108,neutral,disgust,neutral,distance,KNeighborsClassifier,38.94444444444444
109,neutral,disgust,disgust,distance,KNeighborsClassifier,23.22222222222222
110,neutral,disgust,neutral_disgust,distance,KNeighborsClassifier,40.22222222222222
111,disgust,neutral,neutral,distance,KNeighborsClassifier,26.611111111111114
112,disgust,neutral,disgust,distance,KNeighborsClassifier,16.72222222222222
113,disgust,neutral,neutral_disgust,distance,KNeighborsClassifier,24.333333333333336
114,disgust,disgust,neutral,distance,KNeighborsClassifier,50.33333333333333
115,disgust,disgust,disgust,distance,KNeighborsClassifier,47.16666666666667
116,disgust,disgust,neutral_disgust,distance,KNeighborsClassifier,51.5
117,neutral_disgust,neutral_disgust,neutral,distance,KNeighborsClassifier,75.52777777777779
118,neutral_disgust,neutral_disgust,disgust,distance,KNeighborsClassifier,61.083333333333336
119,neutral_disgust,neutral_disgust,neutral_disgust,distance,KNeighborsClassifier,75.16666666666666
120,neutral,neutral,neutral,distance,GaussianProcessClassifier,95.27777777777779
121,neutral,neutral,disgust,distance,GaussianProcessClassifier,84.66666666666667
122,neutral,neutral,neutral_disgust,distance,GaussianProcessClassifier,94.33333333333333
123,neutral,disgust,neutral,distance,GaussianProcessClassifier,67.27777777777779
124,neutral,disgust,disgust,distance,GaussianProcessClassifier,44.44444444444444
125,neutral,disgust,neutral_disgust,distance,GaussianProcessClassifier,65.94444444444444
126,disgust,neutral,neutral,distance,GaussianProcessClassifier,52.22222222222223
127,disgust,neutral,disgust,distance,GaussianProcessClassifier,29.444444444444446
128,disgust,neutral,neutral_disgust,distance,GaussianProcessClassifier,49.55555555555556
129,disgust,disgust,neutral,distance,GaussianProcessClassifier,95.8888888888889
130,disgust,disgust,disgust,distance,GaussianProcessClassifier,89.6111111111111
131,disgust,disgust,neutral_disgust,distance,GaussianProcessClassifier,97.83333333333333
132,neutral_disgust,neutral_disgust,neutral,distance,GaussianProcessClassifier,96.3611111111111
133,neutral_disgust,neutral_disgust,disgust,distance,GaussianProcessClassifier,87.63888888888889
134,neutral_disgust,neutral_disgust,neutral_disgust,distance,GaussianProcessClassifier,97.66666666666667
135,neutral,neutral,neutral,distance,GaussianNB,75.83333333333333
136,neutral,neutral,disgust,distance,GaussianNB,64.22222222222223
137,neutral,neutral,neutral_disgust,distance,GaussianNB,71.72222222222223
138,neutral,disgust,neutral,distance,GaussianNB,24.444444444444446
139,neutral,disgust,disgust,distance,GaussianNB,13.0
140,neutral,disgust,neutral_disgust,distance,GaussianNB,20.27777777777778
141,disgust,neutral,neutral,distance,GaussianNB,21.38888888888889
142,disgust,neutral,disgust,distance,GaussianNB,14.555555555555557
143,disgust,neutral,neutral_disgust,distance,GaussianNB,19.77777777777778
144,disgust,disgust,neutral,distance,GaussianNB,73.16666666666666
145,disgust,disgust,disgust,distance,GaussianNB,63.44444444444445
146,disgust,disgust,neutral_disgust,distance,GaussianNB,73.22222222222221
147,neutral_disgust,neutral_disgust,neutral,distance,GaussianNB,95.13888888888889
148,neutral_disgust,neutral_disgust,disgust,distance,GaussianNB,83.0
149,neutral_disgust,neutral_disgust,neutral_disgust,distance,GaussianNB,95.38888888888889
150,neutral,neutral,neutral,distance,AdaBoostClassifier,30.22222222222222
151,neutral,neutral,disgust,distance,AdaBoostClassifier,18.388888888888886
152,neutral,neutral,neutral_disgust,distance,AdaBoostClassifier,34.5
153,neutral,disgust,neutral,distance,AdaBoostClassifier,19.777777777777775
154,neutral,disgust,disgust,distance,AdaBoostClassifier,8.388888888888888
155,neutral,disgust,neutral_disgust,distance,AdaBoostClassifier,20.22222222222222
156,disgust,neutral,neutral,distance,AdaBoostClassifier,13.944444444444445
157,disgust,neutral,disgust,distance,AdaBoostClassifier,8.166666666666668
158,disgust,neutral,neutral_disgust,distance,AdaBoostClassifier,14.888888888888888
159,disgust,disgust,neutral,distance,AdaBoostClassifier,34.33333333333333
160,disgust,disgust,disgust,distance,AdaBoostClassifier,20.166666666666668
161,disgust,disgust,neutral_disgust,distance,AdaBoostClassifier,35.77777777777778
162,neutral_disgust,neutral_disgust,neutral,distance,AdaBoostClassifier,12.472222222222223
163,neutral_disgust,neutral_disgust,disgust,distance,AdaBoostClassifier,4.138888888888888
164,neutral_disgust,neutral_disgust,neutral_disgust,distance,AdaBoostClassifier,12.13888888888889
165,neutral,neutral,neutral,distance,BaggingClassifier,87.55555555555556
166,neutral,neutral,disgust,distance,BaggingClassifier,76.3888888888889
167,neutral,neutral,neutral_disgust,distance,BaggingClassifier,87.11111111111111
168,neutral,disgust,neutral,distance,BaggingClassifier,49.33333333333333
169,neutral,disgust,disgust,distance,BaggingClassifier,29.5
170,neutral,disgust,neutral_disgust,distance,BaggingClassifier,45.166666666666664
171,disgust,neutral,neutral,distance,BaggingClassifier,36.22222222222222
172,disgust,neutral,disgust,distance,BaggingClassifier,22.444444444444446
173,disgust,neutral,neutral_disgust,distance,BaggingClassifier,36.22222222222222
174,disgust,disgust,neutral,distance,BaggingClassifier,87.94444444444444
175,disgust,disgust,disgust,distance,BaggingClassifier,75.88888888888889
176,disgust,disgust,neutral_disgust,distance,BaggingClassifier,86.16666666666667
177,neutral_disgust,neutral_disgust,neutral,distance,BaggingClassifier,95.16666666666667
178,neutral_disgust,neutral_disgust,disgust,distance,BaggingClassifier,84.44444444444446
179,neutral_disgust,neutral_disgust,neutral_disgust,distance,BaggingClassifier,95.30555555555557
180,neutral,neutral,neutral,distance,RandomForestClassifier,95.0
181,neutral,neutral,disgust,distance,RandomForestClassifier,84.33333333333333
182,neutral,neutral,neutral_disgust,distance,RandomForestClassifier,93.33333333333333
183,neutral,disgust,neutral,distance,RandomForestClassifier,64.3888888888889
184,neutral,disgust,disgust,distance,RandomForestClassifier,38.666666666666664
185,neutral,disgust,neutral_disgust,distance,RandomForestClassifier,60.38888888888888
186,disgust,neutral,neutral,distance,RandomForestClassifier,52.5
187,disgust,neutral,disgust,distance,RandomForestClassifier,30.22222222222222
188,disgust,neutral,neutral_disgust,distance,RandomForestClassifier,49.0
189,disgust,disgust,neutral,distance,RandomForestClassifier,95.61111111111111
190,disgust,disgust,disgust,distance,RandomForestClassifier,88.83333333333334
191,disgust,disgust,neutral_disgust,distance,RandomForestClassifier,96.83333333333334
192,neutral_disgust,neutral_disgust,neutral,distance,RandomForestClassifier,97.86111111111111
193,neutral_disgust,neutral_disgust,disgust,distance,RandomForestClassifier,91.33333333333333
194,neutral_disgust,neutral_disgust,neutral_disgust,distance,RandomForestClassifier,98.02777777777779
195,neutral,neutral,neutral,distance,GradientBoostingClassifier,68.55555555555556
196,neutral,neutral,disgust,distance,GradientBoostingClassifier,54.666666666666664
197,neutral,neutral,neutral_disgust,distance,GradientBoostingClassifier,70.11111111111111
198,neutral,disgust,neutral,distance,GradientBoostingClassifier,34.27777777777778
199,neutral,disgust,disgust,distance,GradientBoostingClassifier,19.222222222222225
200,neutral,disgust,neutral_disgust,distance,GradientBoostingClassifier,31.944444444444443
201,disgust,neutral,neutral,distance,GradientBoostingClassifier,24.333333333333332
202,disgust,neutral,disgust,distance,GradientBoostingClassifier,17.38888888888889
203,disgust,neutral,neutral_disgust,distance,GradientBoostingClassifier,27.055555555555554
204,disgust,disgust,neutral,distance,GradientBoostingClassifier,66.44444444444443
205,disgust,disgust,disgust,distance,GradientBoostingClassifier,55.666666666666664
206,disgust,disgust,neutral_disgust,distance,GradientBoostingClassifier,70.55555555555556
207,neutral_disgust,neutral_disgust,neutral,distance,GradientBoostingClassifier,80.30555555555554
208,neutral_disgust,neutral_disgust,disgust,distance,GradientBoostingClassifier,63.44444444444445
209,neutral_disgust,neutral_disgust,neutral_disgust,distance,GradientBoostingClassifier,79.91666666666666
210,neutral,neutral,neutral,distance,ExtraTreesClassifier,97.11111111111111
211,neutral,neutral,disgust,distance,ExtraTreesClassifier,86.61111111111111
212,neutral,neutral,neutral_disgust,distance,ExtraTreesClassifier,96.1111111111111
213,neutral,disgust,neutral,distance,ExtraTreesClassifier,74.55555555555556
214,neutral,disgust,disgust,distance,ExtraTreesClassifier,46.0
215,neutral,disgust,neutral_disgust,distance,ExtraTreesClassifier,73.55555555555557
216,disgust,neutral,neutral,distance,ExtraTreesClassifier,63.16666666666666
217,disgust,neutral,disgust,distance,ExtraTreesClassifier,33.666666666666664
218,disgust,neutral,neutral_disgust,distance,ExtraTreesClassifier,63.83333333333333
219,disgust,disgust,neutral,distance,ExtraTreesClassifier,97.44444444444443
220,disgust,disgust,disgust,distance,ExtraTreesClassifier,91.50000000000001
221,disgust,disgust,neutral_disgust,distance,ExtraTreesClassifier,98.16666666666666
222,neutral_disgust,neutral_disgust,neutral,distance,ExtraTreesClassifier,98.77777777777779
223,neutral_disgust,neutral_disgust,disgust,distance,ExtraTreesClassifier,91.38888888888889
224,neutral_disgust,neutral_disgust,neutral_disgust,distance,ExtraTreesClassifier,98.91666666666667
225,neutral,neutral,neutral,distance,MLPClassifier,95.49999999999999
226,neutral,neutral,disgust,distance,MLPClassifier,86.16666666666669
227,neutral,neutral,neutral_disgust,distance,MLPClassifier,94.16666666666667
228,neutral,disgust,neutral,distance,MLPClassifier,61.38888888888889
229,neutral,disgust,disgust,distance,MLPClassifier,42.72222222222222
230,neutral,disgust,neutral_disgust,distance,MLPClassifier,61.83333333333334
231,disgust,neutral,neutral,distance,MLPClassifier,49.83333333333333
232,disgust,neutral,disgust,distance,MLPClassifier,30.277777777777782
233,disgust,neutral,neutral_disgust,distance,MLPClassifier,46.38888888888889
234,disgust,disgust,neutral,distance,MLPClassifier,95.88888888888889
235,disgust,disgust,disgust,distance,MLPClassifier,91.16666666666666
236,disgust,disgust,neutral_disgust,distance,MLPClassifier,96.5
237,neutral_disgust,neutral_disgust,neutral,distance,MLPClassifier,97.97222222222223
238,neutral_disgust,neutral_disgust,disgust,distance,MLPClassifier,93.5
239,neutral_disgust,neutral_disgust,neutral_disgust,distance,MLPClassifier,98.27777777777777
