,training_set,test_set,feature_set,feature_type,model_type,accuracy
73,neutral_happiness,neutral_happiness,happiness,distance,ExtraTreeClassifier,79.52727272727273
74,neutral_happiness,neutral_happiness,neutral_happiness,distance,ExtraTreeClassifier,83.56363636363635
75,neutral,neutral,neutral,distance,LogisticRegression,79.34545454545454
76,neutral,neutral,happiness,distance,LogisticRegression,85.60000000000001
77,neutral,neutral,neutral_happiness,distance,LogisticRegression,90.61818181818181
78,neutral,happiness,neutral,distance,LogisticRegression,40.8
79,neutral,happiness,happiness,distance,LogisticRegression,51.92727272727272
80,neutral,happiness,neutral_happiness,distance,LogisticRegression,63.56363636363637
81,happiness,neutral,neutral,distance,LogisticRegression,33.236363636363635
82,happiness,neutral,happiness,distance,LogisticRegression,42.54545454545454
83,happiness,neutral,neutral_happiness,distance,LogisticRegression,47.70909090909091
84,happiness,happiness,neutral,distance,LogisticRegression,96.29090909090908
85,happiness,happiness,happiness,distance,LogisticRegression,96.72727272727273
86,happiness,happiness,neutral_happiness,distance,LogisticRegression,98.25454545454545
87,neutral_happiness,neutral_happiness,neutral,distance,LogisticRegression,89.12727272727273
88,neutral_happiness,neutral_happiness,happiness,distance,LogisticRegression,94.47272727272727
89,neutral_happiness,neutral_happiness,neutral_happiness,distance,LogisticRegression,98.10909090909091
90,neutral,neutral,neutral,distance,Perceptron,55.345454545454544
91,neutral,neutral,happiness,distance,Perceptron,64.36363636363637
92,neutral,neutral,neutral_happiness,distance,Perceptron,84.29090909090908
93,neutral,happiness,neutral,distance,Perceptron,31.927272727272726
94,neutral,happiness,happiness,distance,Perceptron,37.309090909090905
95,neutral,happiness,neutral_happiness,distance,Perceptron,55.054545454545455
96,happiness,neutral,neutral,distance,Perceptron,24.945454545454545
97,happiness,neutral,happiness,distance,Perceptron,27.92727272727273
98,happiness,neutral,neutral_happiness,distance,Perceptron,36.43636363636364
99,happiness,happiness,neutral,distance,Perceptron,71.56363636363636
100,happiness,happiness,happiness,distance,Perceptron,83.34545454545456
101,happiness,happiness,neutral_happiness,distance,Perceptron,94.54545454545455
102,neutral_happiness,neutral_happiness,neutral,distance,Perceptron,58.763636363636365
103,neutral_happiness,neutral_happiness,happiness,distance,Perceptron,72.18181818181817
104,neutral_happiness,neutral_happiness,neutral_happiness,distance,Perceptron,93.81818181818181
105,neutral,neutral,neutral,distance,KNeighborsClassifier,43.63636363636364
106,neutral,neutral,happiness,distance,KNeighborsClassifier,48.36363636363636
107,neutral,neutral,neutral_happiness,distance,KNeighborsClassifier,50.03636363636363
108,neutral,happiness,neutral,distance,KNeighborsClassifier,18.618181818181817
109,neutral,happiness,happiness,distance,KNeighborsClassifier,23.854545454545452
110,neutral,happiness,neutral_happiness,distance,KNeighborsClassifier,28.654545454545456
111,happiness,neutral,neutral,distance,KNeighborsClassifier,15.563636363636366
112,happiness,neutral,happiness,distance,KNeighborsClassifier,26.83636363636363
113,happiness,neutral,neutral_happiness,distance,KNeighborsClassifier,26.54545454545454
114,happiness,happiness,neutral,distance,KNeighborsClassifier,51.78181818181818
115,happiness,happiness,happiness,distance,KNeighborsClassifier,50.1090909090909
116,happiness,happiness,neutral_happiness,distance,KNeighborsClassifier,49.81818181818181
117,neutral_happiness,neutral_happiness,neutral,distance,KNeighborsClassifier,63.490909090909085
118,neutral_happiness,neutral_happiness,happiness,distance,KNeighborsClassifier,67.74545454545456
119,neutral_happiness,neutral_happiness,neutral_happiness,distance,KNeighborsClassifier,69.2
120,neutral,neutral,neutral,distance,GaussianProcessClassifier,79.41818181818182
121,neutral,neutral,happiness,distance,GaussianProcessClassifier,85.01818181818182
122,neutral,neutral,neutral_happiness,distance,GaussianProcessClassifier,87.78181818181818
123,neutral,happiness,neutral,distance,GaussianProcessClassifier,41.74545454545455
124,neutral,happiness,happiness,distance,GaussianProcessClassifier,49.45454545454545
125,neutral,happiness,neutral_happiness,distance,GaussianProcessClassifier,53.67272727272727
126,happiness,neutral,neutral,distance,GaussianProcessClassifier,30.03636363636363
127,happiness,neutral,happiness,distance,GaussianProcessClassifier,40.36363636363637
128,happiness,neutral,neutral_happiness,distance,GaussianProcessClassifier,41.96363636363636
129,happiness,happiness,neutral,distance,GaussianProcessClassifier,96.50909090909092
130,happiness,happiness,happiness,distance,GaussianProcessClassifier,97.0909090909091
131,happiness,happiness,neutral_happiness,distance,GaussianProcessClassifier,98.03636363636365
132,neutral_happiness,neutral_happiness,neutral,distance,GaussianProcessClassifier,91.0909090909091
133,neutral_happiness,neutral_happiness,happiness,distance,GaussianProcessClassifier,94.07272727272728
134,neutral_happiness,neutral_happiness,neutral_happiness,distance,GaussianProcessClassifier,95.67272727272729
135,neutral,neutral,neutral,distance,GaussianNB,69.01818181818182
136,neutral,neutral,happiness,distance,GaussianNB,69.81818181818181
137,neutral,neutral,neutral_happiness,distance,GaussianNB,72.8
138,neutral,happiness,neutral,distance,GaussianNB,36.43636363636364
139,neutral,happiness,happiness,distance,GaussianNB,30.909090909090907
140,neutral,happiness,neutral_happiness,distance,GaussianNB,33.81818181818182
141,happiness,neutral,neutral,distance,GaussianNB,22.4
142,happiness,neutral,happiness,distance,GaussianNB,22.254545454545454
143,happiness,neutral,neutral_happiness,distance,GaussianNB,24.87272727272727
144,happiness,happiness,neutral,distance,GaussianNB,80.58181818181818
145,happiness,happiness,happiness,distance,GaussianNB,78.83636363636363
146,happiness,happiness,neutral_happiness,distance,GaussianNB,82.47272727272727
147,neutral_happiness,neutral_happiness,neutral,distance,GaussianNB,92.83636363636364
148,neutral_happiness,neutral_happiness,happiness,distance,GaussianNB,93.38181818181818
149,neutral_happiness,neutral_happiness,neutral_happiness,distance,GaussianNB,95.16363636363637
150,neutral,neutral,neutral,distance,BaggingClassifier,79.41818181818182
151,neutral,neutral,happiness,distance,BaggingClassifier,77.81818181818181
152,neutral,neutral,neutral_happiness,distance,BaggingClassifier,82.47272727272728
153,neutral,happiness,neutral,distance,BaggingClassifier,42.981818181818184
154,neutral,happiness,happiness,distance,BaggingClassifier,44.07272727272727
155,neutral,happiness,neutral_happiness,distance,BaggingClassifier,49.018181818181816
156,happiness,neutral,neutral,distance,BaggingClassifier,26.47272727272727
157,happiness,neutral,happiness,distance,BaggingClassifier,34.61818181818182
158,happiness,neutral,neutral_happiness,distance,BaggingClassifier,35.272727272727266
159,happiness,happiness,neutral,distance,BaggingClassifier,92.2181818181818
160,happiness,happiness,happiness,distance,BaggingClassifier,89.81818181818183
161,happiness,happiness,neutral_happiness,distance,BaggingClassifier,91.7090909090909
162,neutral_happiness,neutral_happiness,neutral,distance,BaggingClassifier,94.07272727272726
163,neutral_happiness,neutral_happiness,happiness,distance,BaggingClassifier,94.76363636363635
164,neutral_happiness,neutral_happiness,neutral_happiness,distance,BaggingClassifier,95.85454545454546
165,neutral,neutral,neutral,distance,RandomForestClassifier,87.78181818181818
166,neutral,neutral,happiness,distance,RandomForestClassifier,89.30909090909091
167,neutral,neutral,neutral_happiness,distance,RandomForestClassifier,92.2909090909091
168,neutral,happiness,neutral,distance,RandomForestClassifier,54.400000000000006
169,neutral,happiness,happiness,distance,RandomForestClassifier,56.21818181818181
170,neutral,happiness,neutral_happiness,distance,RandomForestClassifier,64.87272727272727
171,happiness,neutral,neutral,distance,RandomForestClassifier,35.63636363636364
172,happiness,neutral,happiness,distance,RandomForestClassifier,45.599999999999994
173,happiness,neutral,neutral_happiness,distance,RandomForestClassifier,47.78181818181818
174,happiness,happiness,neutral,distance,RandomForestClassifier,97.38181818181818
175,happiness,happiness,happiness,distance,RandomForestClassifier,96.65454545454546
176,happiness,happiness,neutral_happiness,distance,RandomForestClassifier,98.18181818181819
177,neutral_happiness,neutral_happiness,neutral,distance,RandomForestClassifier,96.87272727272727
178,neutral_happiness,neutral_happiness,happiness,distance,RandomForestClassifier,97.23636363636363
179,neutral_happiness,neutral_happiness,neutral_happiness,distance,RandomForestClassifier,98.8
180,neutral,neutral,neutral,distance,GradientBoostingClassifier,61.81818181818181
181,neutral,neutral,happiness,distance,GradientBoostingClassifier,62.981818181818184
182,neutral,neutral,neutral_happiness,distance,GradientBoostingClassifier,68.94545454545455
183,neutral,happiness,neutral,distance,GradientBoostingClassifier,29.745454545454542
184,neutral,happiness,happiness,distance,GradientBoostingClassifier,30.254545454545458
185,neutral,happiness,neutral_happiness,distance,GradientBoostingClassifier,37.96363636363636
186,happiness,neutral,neutral,distance,GradientBoostingClassifier,17.96363636363637
187,happiness,neutral,happiness,distance,GradientBoostingClassifier,23.12727272727273
188,happiness,neutral,neutral_happiness,distance,GradientBoostingClassifier,25.09090909090909
189,happiness,happiness,neutral,distance,GradientBoostingClassifier,74.76363636363637
190,happiness,happiness,happiness,distance,GradientBoostingClassifier,74.9818181818182
191,happiness,happiness,neutral_happiness,distance,GradientBoostingClassifier,81.67272727272727
192,neutral_happiness,neutral_happiness,neutral,distance,GradientBoostingClassifier,79.56363636363638
193,neutral_happiness,neutral_happiness,happiness,distance,GradientBoostingClassifier,79.74545454545455
194,neutral_happiness,neutral_happiness,neutral_happiness,distance,GradientBoostingClassifier,84.5090909090909
195,neutral,neutral,neutral,distance,ExtraTreesClassifier,92.2181818181818
196,neutral,neutral,happiness,distance,ExtraTreesClassifier,92.87272727272726
197,neutral,neutral,neutral_happiness,distance,ExtraTreesClassifier,96.87272727272727
198,neutral,happiness,neutral,distance,ExtraTreesClassifier,68.94545454545455
199,neutral,happiness,happiness,distance,ExtraTreesClassifier,67.56363636363636
200,neutral,happiness,neutral_happiness,distance,ExtraTreesClassifier,84.94545454545454
201,happiness,neutral,neutral,distance,ExtraTreesClassifier,52.07272727272727
202,happiness,neutral,happiness,distance,ExtraTreesClassifier,53.52727272727273
203,happiness,neutral,neutral_happiness,distance,ExtraTreesClassifier,66.18181818181817
204,happiness,happiness,neutral,distance,ExtraTreesClassifier,98.83636363636364
205,happiness,happiness,happiness,distance,ExtraTreesClassifier,98.9090909090909
206,happiness,happiness,neutral_happiness,distance,ExtraTreesClassifier,99.4909090909091
207,neutral_happiness,neutral_happiness,neutral,distance,ExtraTreesClassifier,97.41818181818182
208,neutral_happiness,neutral_happiness,happiness,distance,ExtraTreesClassifier,97.85454545454546
209,neutral_happiness,neutral_happiness,neutral_happiness,distance,ExtraTreesClassifier,99.23636363636363
