,training_set,test_set,feature_set,feature_type,model_type,accuracy
77,neutral,neutral,neutral_fear,distance,LogisticRegression,92.72727272727272
78,neutral,fear,neutral,distance,LogisticRegression,65.38181818181818
79,neutral,fear,fear,distance,LogisticRegression,45.309090909090905
80,neutral,fear,neutral_fear,distance,LogisticRegression,70.47272727272727
81,fear,neutral,neutral,distance,LogisticRegression,55.70909090909091
82,fear,neutral,fear,distance,LogisticRegression,33.6
83,fear,neutral,neutral_fear,distance,LogisticRegression,60.80000000000001
84,fear,fear,neutral,distance,LogisticRegression,96.72727272727273
85,fear,fear,fear,distance,LogisticRegression,93.0181818181818
86,fear,fear,neutral_fear,distance,LogisticRegression,98.47272727272727
87,neutral_fear,neutral_fear,neutral,distance,LogisticRegression,90.36363636363636
88,neutral_fear,neutral_fear,fear,distance,LogisticRegression,81.85454545454546
89,neutral_fear,neutral_fear,neutral_fear,distance,LogisticRegression,96.90909090909092
90,neutral,neutral,neutral,distance,Perceptron,59.56363636363635
91,neutral,neutral,fear,distance,Perceptron,47.12727272727272
92,neutral,neutral,neutral_fear,distance,Perceptron,81.30909090909091
93,neutral,fear,neutral,distance,Perceptron,41.96363636363636
94,neutral,fear,fear,distance,Perceptron,30.03636363636363
95,neutral,fear,neutral_fear,distance,Perceptron,55.49090909090908
96,fear,neutral,neutral,distance,Perceptron,37.89090909090909
97,fear,neutral,fear,distance,Perceptron,23.345454545454544
98,fear,neutral,neutral_fear,distance,Perceptron,44.07272727272727
99,fear,fear,neutral,distance,Perceptron,73.38181818181819
100,fear,fear,fear,distance,Perceptron,55.05454545454545
101,fear,fear,neutral_fear,distance,Perceptron,93.52727272727272
102,neutral_fear,neutral_fear,neutral,distance,Perceptron,63.163636363636364
103,neutral_fear,neutral_fear,fear,distance,Perceptron,48.47272727272727
104,neutral_fear,neutral_fear,neutral_fear,distance,Perceptron,88.25454545454544
105,neutral,neutral,neutral,distance,KNeighborsClassifier,50.47272727272727
106,neutral,neutral,fear,distance,KNeighborsClassifier,45.16363636363636
107,neutral,neutral,neutral_fear,distance,KNeighborsClassifier,50.61818181818183
108,neutral,fear,neutral,distance,KNeighborsClassifier,36.94545454545454
109,neutral,fear,fear,distance,KNeighborsClassifier,26.98181818181818
110,neutral,fear,neutral_fear,distance,KNeighborsClassifier,40.509090909090915
111,fear,neutral,neutral,distance,KNeighborsClassifier,35.56363636363636
112,fear,neutral,fear,distance,KNeighborsClassifier,17.01818181818182
113,fear,neutral,neutral_fear,distance,KNeighborsClassifier,35.2
114,fear,fear,neutral,distance,KNeighborsClassifier,52.14545454545454
115,fear,fear,fear,distance,KNeighborsClassifier,48.945454545454545
116,fear,fear,neutral_fear,distance,KNeighborsClassifier,58.4
117,neutral_fear,neutral_fear,neutral,distance,KNeighborsClassifier,80.10909090909091
118,neutral_fear,neutral_fear,fear,distance,KNeighborsClassifier,64.94545454545455
119,neutral_fear,neutral_fear,neutral_fear,distance,KNeighborsClassifier,79.78181818181818
120,neutral,neutral,neutral,distance,GaussianProcessClassifier,90.54545454545453
121,neutral,neutral,fear,distance,GaussianProcessClassifier,80.29090909090908
122,neutral,neutral,neutral_fear,distance,GaussianProcessClassifier,92.14545454545453
123,neutral,fear,neutral,distance,GaussianProcessClassifier,68.94545454545455
124,neutral,fear,fear,distance,GaussianProcessClassifier,48.29090909090909
125,neutral,fear,neutral_fear,distance,GaussianProcessClassifier,70.32727272727271
126,fear,neutral,neutral,distance,GaussianProcessClassifier,57.23636363636364
127,fear,neutral,fear,distance,GaussianProcessClassifier,32.29090909090909
128,fear,neutral,neutral_fear,distance,GaussianProcessClassifier,55.41818181818181
129,fear,fear,neutral,distance,GaussianProcessClassifier,97.67272727272727
130,fear,fear,fear,distance,GaussianProcessClassifier,93.6
131,fear,fear,neutral_fear,distance,GaussianProcessClassifier,98.10909090909091
132,neutral_fear,neutral_fear,neutral,distance,GaussianProcessClassifier,95.05454545454545
133,neutral_fear,neutral_fear,fear,distance,GaussianProcessClassifier,86.98181818181817
134,neutral_fear,neutral_fear,neutral_fear,distance,GaussianProcessClassifier,96.72727272727273
135,neutral,neutral,neutral,distance,GaussianNB,71.12727272727274
136,neutral,neutral,fear,distance,GaussianNB,57.527272727272724
137,neutral,neutral,neutral_fear,distance,GaussianNB,68.21818181818182
138,neutral,fear,neutral,distance,GaussianNB,34.18181818181818
139,neutral,fear,fear,distance,GaussianNB,17.672727272727272
140,neutral,fear,neutral_fear,distance,GaussianNB,29.600000000000005
141,fear,neutral,neutral,distance,GaussianNB,22.327272727272724
142,fear,neutral,fear,distance,GaussianNB,10.690909090909091
143,fear,neutral,neutral_fear,distance,GaussianNB,17.745454545454546
144,fear,fear,neutral,distance,GaussianNB,76.8
145,fear,fear,fear,distance,GaussianNB,65.01818181818182
146,fear,fear,neutral_fear,distance,GaussianNB,71.7090909090909
147,neutral_fear,neutral_fear,neutral,distance,GaussianNB,93.96363636363637
148,neutral_fear,neutral_fear,fear,distance,GaussianNB,83.2
149,neutral_fear,neutral_fear,neutral_fear,distance,GaussianNB,94.10909090909091
150,neutral,neutral,neutral,distance,AdaBoostClassifier,9.600000000000001
151,neutral,neutral,fear,distance,AdaBoostClassifier,10.4
152,neutral,neutral,neutral_fear,distance,AdaBoostClassifier,12.290909090909091
153,neutral,fear,neutral,distance,AdaBoostClassifier,8.872727272727273
154,neutral,fear,fear,distance,AdaBoostClassifier,8.218181818181817
155,neutral,fear,neutral_fear,distance,AdaBoostClassifier,11.345454545454546
156,fear,neutral,neutral,distance,AdaBoostClassifier,6.254545454545454
157,fear,neutral,fear,distance,AdaBoostClassifier,5.381818181818182
158,fear,neutral,neutral_fear,distance,AdaBoostClassifier,6.763636363636364
159,fear,fear,neutral,distance,AdaBoostClassifier,9.163636363636364
160,fear,fear,fear,distance,AdaBoostClassifier,15.418181818181816
161,fear,fear,neutral_fear,distance,AdaBoostClassifier,13.527272727272727
162,neutral_fear,neutral_fear,neutral,distance,AdaBoostClassifier,5.78181818181818
163,neutral_fear,neutral_fear,fear,distance,AdaBoostClassifier,5.745454545454545
164,neutral_fear,neutral_fear,neutral_fear,distance,AdaBoostClassifier,5.8181818181818175
165,neutral,neutral,neutral,distance,BaggingClassifier,82.76363636363635
166,neutral,neutral,fear,distance,BaggingClassifier,72.58181818181818
167,neutral,neutral,neutral_fear,distance,BaggingClassifier,81.38181818181818
168,neutral,fear,neutral,distance,BaggingClassifier,51.70909090909092
169,neutral,fear,fear,distance,BaggingClassifier,33.96363636363637
170,neutral,fear,neutral_fear,distance,BaggingClassifier,50.47272727272727
171,fear,neutral,neutral,distance,BaggingClassifier,43.709090909090904
172,fear,neutral,fear,distance,BaggingClassifier,23.999999999999996
173,fear,neutral,neutral_fear,distance,BaggingClassifier,36.0
174,fear,fear,neutral,distance,BaggingClassifier,91.85454545454546
175,fear,fear,fear,distance,BaggingClassifier,84.87272727272727
176,fear,fear,neutral_fear,distance,BaggingClassifier,93.23636363636363
177,neutral_fear,neutral_fear,neutral,distance,BaggingClassifier,92.87272727272727
178,neutral_fear,neutral_fear,fear,distance,BaggingClassifier,83.67272727272726
179,neutral_fear,neutral_fear,neutral_fear,distance,BaggingClassifier,94.14545454545454
180,neutral,neutral,neutral,distance,RandomForestClassifier,92.50909090909092
181,neutral,neutral,fear,distance,RandomForestClassifier,81.52727272727272
182,neutral,neutral,neutral_fear,distance,RandomForestClassifier,92.72727272727273
183,neutral,fear,neutral,distance,RandomForestClassifier,69.09090909090908
184,neutral,fear,fear,distance,RandomForestClassifier,46.47272727272727
185,neutral,fear,neutral_fear,distance,RandomForestClassifier,65.45454545454545
186,fear,neutral,neutral,distance,RandomForestClassifier,58.03636363636364
187,fear,neutral,fear,distance,RandomForestClassifier,32.36363636363636
188,fear,neutral,neutral_fear,distance,RandomForestClassifier,53.090909090909086
189,fear,fear,neutral,distance,RandomForestClassifier,97.52727272727273
190,fear,fear,fear,distance,RandomForestClassifier,93.45454545454544
191,fear,fear,neutral_fear,distance,RandomForestClassifier,97.96363636363635
192,neutral_fear,neutral_fear,neutral,distance,RandomForestClassifier,97.12727272727273
193,neutral_fear,neutral_fear,fear,distance,RandomForestClassifier,89.74545454545454
194,neutral_fear,neutral_fear,neutral_fear,distance,RandomForestClassifier,97.52727272727273
195,neutral,neutral,neutral,distance,GradientBoostingClassifier,63.34545454545455
196,neutral,neutral,fear,distance,GradientBoostingClassifier,53.599999999999994
197,neutral,neutral,neutral_fear,distance,GradientBoostingClassifier,65.38181818181819
198,neutral,fear,neutral,distance,GradientBoostingClassifier,37.89090909090909
199,neutral,fear,fear,distance,GradientBoostingClassifier,23.927272727272726
200,neutral,fear,neutral_fear,distance,GradientBoostingClassifier,36.509090909090915
201,fear,neutral,neutral,distance,GradientBoostingClassifier,27.200000000000003
202,fear,neutral,fear,distance,GradientBoostingClassifier,15.345454545454542
203,fear,neutral,neutral_fear,distance,GradientBoostingClassifier,26.618181818181817
204,fear,fear,neutral,distance,GradientBoostingClassifier,77.45454545454547
205,fear,fear,fear,distance,GradientBoostingClassifier,66.83636363636364
206,fear,fear,neutral_fear,distance,GradientBoostingClassifier,79.34545454545454
207,neutral_fear,neutral_fear,neutral,distance,GradientBoostingClassifier,80.0
208,neutral_fear,neutral_fear,fear,distance,GradientBoostingClassifier,68.36363636363636
209,neutral_fear,neutral_fear,neutral_fear,distance,GradientBoostingClassifier,81.49090909090908
210,neutral,neutral,neutral,distance,ExtraTreesClassifier,94.47272727272727
211,neutral,neutral,fear,distance,ExtraTreesClassifier,83.92727272727272
212,neutral,neutral,neutral_fear,distance,ExtraTreesClassifier,95.78181818181818
213,neutral,fear,neutral,distance,ExtraTreesClassifier,76.8
214,neutral,fear,fear,distance,ExtraTreesClassifier,52.218181818181804
215,neutral,fear,neutral_fear,distance,ExtraTreesClassifier,78.98181818181818
216,fear,neutral,neutral,distance,ExtraTreesClassifier,67.7818181818182
217,fear,neutral,fear,distance,ExtraTreesClassifier,38.61818181818182
218,fear,neutral,neutral_fear,distance,ExtraTreesClassifier,65.45454545454545
219,fear,fear,neutral,distance,ExtraTreesClassifier,98.4
220,fear,fear,fear,distance,ExtraTreesClassifier,94.61818181818181
221,fear,fear,neutral_fear,distance,ExtraTreesClassifier,98.69090909090909
222,neutral_fear,neutral_fear,neutral,distance,ExtraTreesClassifier,97.74545454545454
223,neutral_fear,neutral_fear,fear,distance,ExtraTreesClassifier,91.45454545454545
224,neutral_fear,neutral_fear,neutral_fear,distance,ExtraTreesClassifier,98.61818181818182
225,neutral,neutral,neutral,distance,MLPClassifier,92.29090909090908
226,neutral,neutral,fear,distance,MLPClassifier,82.6909090909091
227,neutral,neutral,neutral_fear,distance,MLPClassifier,90.83636363636364
228,neutral,fear,neutral,distance,MLPClassifier,61.6
229,neutral,fear,fear,distance,MLPClassifier,48.800000000000004
230,neutral,fear,neutral_fear,distance,MLPClassifier,65.67272727272727
231,fear,neutral,neutral,distance,MLPClassifier,54.25454545454546
232,fear,neutral,fear,distance,MLPClassifier,31.345454545454547
233,fear,neutral,neutral_fear,distance,MLPClassifier,54.76363636363637
234,fear,fear,neutral,distance,MLPClassifier,97.23636363636363
235,fear,fear,fear,distance,MLPClassifier,93.45454545454545
236,fear,fear,neutral_fear,distance,MLPClassifier,97.89090909090909
237,neutral_fear,neutral_fear,neutral,distance,MLPClassifier,97.23636363636363
238,neutral_fear,neutral_fear,fear,distance,MLPClassifier,91.34545454545454
239,neutral_fear,neutral_fear,neutral_fear,distance,MLPClassifier,97.27272727272728
