,training_set,test_set,feature_set,feature_type,model_type,accuracy
89,neutral_anger,neutral_anger,neutral_anger,distance,LogisticRegression,97.27586206896552
90,neutral,neutral,neutral,distance,Perceptron,63.6551724137931
91,neutral,neutral,anger,distance,Perceptron,71.51724137931035
92,neutral,neutral,neutral_anger,distance,Perceptron,84.82758620689656
93,neutral,anger,neutral,distance,Perceptron,44.9655172413793
94,neutral,anger,anger,distance,Perceptron,44.06896551724138
95,neutral,anger,neutral_anger,distance,Perceptron,52.89655172413793
96,anger,neutral,neutral,distance,Perceptron,43.37931034482759
97,anger,neutral,anger,distance,Perceptron,41.172413793103445
98,anger,neutral,neutral_anger,distance,Perceptron,52.551724137931046
99,anger,anger,neutral,distance,Perceptron,69.3103448275862
100,anger,anger,anger,distance,Perceptron,83.44827586206895
101,anger,anger,neutral_anger,distance,Perceptron,92.82758620689656
102,neutral_anger,neutral_anger,neutral,distance,Perceptron,62.724137931034484
103,neutral_anger,neutral_anger,anger,distance,Perceptron,74.48275862068967
104,neutral_anger,neutral_anger,neutral_anger,distance,Perceptron,89.6551724137931
105,neutral,neutral,neutral,distance,KNeighborsClassifier,53.172413793103445
106,neutral,neutral,anger,distance,KNeighborsClassifier,51.10344827586207
107,neutral,neutral,neutral_anger,distance,KNeighborsClassifier,53.6551724137931
108,neutral,anger,neutral,distance,KNeighborsClassifier,45.103448275862064
109,neutral,anger,anger,distance,KNeighborsClassifier,27.448275862068964
110,neutral,anger,neutral_anger,distance,KNeighborsClassifier,34.3448275862069
111,anger,neutral,neutral,distance,KNeighborsClassifier,39.793103448275865
112,anger,neutral,anger,distance,KNeighborsClassifier,18.482758620689655
113,anger,neutral,neutral_anger,distance,KNeighborsClassifier,28.551724137931032
114,anger,anger,neutral,distance,KNeighborsClassifier,52.758620689655174
115,anger,anger,anger,distance,KNeighborsClassifier,50.3448275862069
116,anger,anger,neutral_anger,distance,KNeighborsClassifier,48.3448275862069
117,neutral_anger,neutral_anger,neutral,distance,KNeighborsClassifier,84.96551724137932
