,training_set,test_set,feature_set,feature_type,model_type,accuracy
73,neutral_disgust,neutral_disgust,disgust,distance,ExtraTreeClassifier,68.36363636363636
74,neutral_disgust,neutral_disgust,neutral_disgust,distance,ExtraTreeClassifier,82.14545454545454
75,neutral,neutral,neutral,distance,LogisticRegression,95.41818181818181
76,neutral,neutral,disgust,distance,LogisticRegression,83.34545454545456
77,neutral,neutral,neutral_disgust,distance,LogisticRegression,94.54545454545455
78,neutral,disgust,neutral,distance,LogisticRegression,64.36363636363636
79,neutral,disgust,disgust,distance,LogisticRegression,44.945454545454545
80,neutral,disgust,neutral_disgust,distance,LogisticRegression,69.45454545454545
81,disgust,neutral,neutral,distance,LogisticRegression,55.27272727272727
82,disgust,neutral,disgust,distance,LogisticRegression,30.254545454545458
83,disgust,neutral,neutral_disgust,distance,LogisticRegression,55.12727272727271
84,disgust,disgust,neutral,distance,LogisticRegression,97.01818181818182
85,disgust,disgust,disgust,distance,LogisticRegression,91.12727272727271
86,disgust,disgust,neutral_disgust,distance,LogisticRegression,99.05454545454545
87,neutral_disgust,neutral_disgust,neutral,distance,LogisticRegression,92.61818181818182
88,neutral_disgust,neutral_disgust,disgust,distance,LogisticRegression,80.39999999999999
89,neutral_disgust,neutral_disgust,neutral_disgust,distance,LogisticRegression,97.85454545454546
90,neutral,neutral,neutral,distance,Perceptron,66.47272727272727
91,neutral,neutral,disgust,distance,Perceptron,50.47272727272727
92,neutral,neutral,neutral_disgust,distance,Perceptron,86.9090909090909
93,neutral,disgust,neutral,distance,Perceptron,43.05454545454545
94,neutral,disgust,disgust,distance,Perceptron,26.981818181818184
95,neutral,disgust,neutral_disgust,distance,Perceptron,53.381818181818176
96,disgust,neutral,neutral,distance,Perceptron,33.30909090909091
97,disgust,neutral,disgust,distance,Perceptron,18.472727272727273
98,disgust,neutral,neutral_disgust,distance,Perceptron,45.599999999999994
99,disgust,disgust,neutral,distance,Perceptron,67.7090909090909
100,disgust,disgust,disgust,distance,Perceptron,51.272727272727266
101,disgust,disgust,neutral_disgust,distance,Perceptron,91.34545454545454
102,neutral_disgust,neutral_disgust,neutral,distance,Perceptron,63.018181818181816
103,neutral_disgust,neutral_disgust,disgust,distance,Perceptron,45.96363636363636
104,neutral_disgust,neutral_disgust,neutral_disgust,distance,Perceptron,89.56363636363636
105,neutral,neutral,neutral,distance,KNeighborsClassifier,51.63636363636363
106,neutral,neutral,disgust,distance,KNeighborsClassifier,51.63636363636363
107,neutral,neutral,neutral_disgust,distance,KNeighborsClassifier,53.236363636363635
108,neutral,disgust,neutral,distance,KNeighborsClassifier,37.236363636363635
109,neutral,disgust,disgust,distance,KNeighborsClassifier,23.345454545454544
110,neutral,disgust,neutral_disgust,distance,KNeighborsClassifier,39.70909090909091
111,disgust,neutral,neutral,distance,KNeighborsClassifier,26.690909090909088
112,disgust,neutral,disgust,distance,KNeighborsClassifier,14.254545454545454
113,disgust,neutral,neutral_disgust,distance,KNeighborsClassifier,23.272727272727273
114,disgust,disgust,neutral,distance,KNeighborsClassifier,50.98181818181817
115,disgust,disgust,disgust,distance,KNeighborsClassifier,47.345454545454544
116,disgust,disgust,neutral_disgust,distance,KNeighborsClassifier,53.527272727272724
117,neutral_disgust,neutral_disgust,neutral,distance,KNeighborsClassifier,79.56363636363636
118,neutral_disgust,neutral_disgust,disgust,distance,KNeighborsClassifier,63.636363636363626
119,neutral_disgust,neutral_disgust,neutral_disgust,distance,KNeighborsClassifier,77.78181818181818
120,neutral,neutral,neutral,distance,GaussianProcessClassifier,95.19999999999999
121,neutral,neutral,disgust,distance,GaussianProcessClassifier,84.87272727272726
122,neutral,neutral,neutral_disgust,distance,GaussianProcessClassifier,94.25454545454545
123,neutral,disgust,neutral,distance,GaussianProcessClassifier,68.65454545454546
124,neutral,disgust,disgust,distance,GaussianProcessClassifier,43.63636363636363
125,neutral,disgust,neutral_disgust,distance,GaussianProcessClassifier,66.54545454545455
126,disgust,neutral,neutral,distance,GaussianProcessClassifier,56.58181818181818
127,disgust,neutral,disgust,distance,GaussianProcessClassifier,30.909090909090907
128,disgust,neutral,neutral_disgust,distance,GaussianProcessClassifier,49.81818181818182
129,disgust,disgust,neutral,distance,GaussianProcessClassifier,97.60000000000001
130,disgust,disgust,disgust,distance,GaussianProcessClassifier,92.43636363636364
131,disgust,disgust,neutral_disgust,distance,GaussianProcessClassifier,98.76363636363637
132,neutral_disgust,neutral_disgust,neutral,distance,GaussianProcessClassifier,96.6909090909091
133,neutral_disgust,neutral_disgust,disgust,distance,GaussianProcessClassifier,89.01818181818182
134,neutral_disgust,neutral_disgust,neutral_disgust,distance,GaussianProcessClassifier,97.8909090909091
135,neutral,neutral,neutral,distance,GaussianNB,77.16363636363636
136,neutral,neutral,disgust,distance,GaussianNB,67.2
137,neutral,neutral,neutral_disgust,distance,GaussianNB,73.52727272727273
138,neutral,disgust,neutral,distance,GaussianNB,27.70909090909091
139,neutral,disgust,disgust,distance,GaussianNB,13.963636363636365
140,neutral,disgust,neutral_disgust,distance,GaussianNB,22.254545454545454
141,disgust,neutral,neutral,distance,GaussianNB,25.89090909090909
142,disgust,neutral,disgust,distance,GaussianNB,16.0
143,disgust,neutral,neutral_disgust,distance,GaussianNB,21.818181818181817
144,disgust,disgust,neutral,distance,GaussianNB,78.9090909090909
145,disgust,disgust,disgust,distance,GaussianNB,67.4909090909091
146,disgust,disgust,neutral_disgust,distance,GaussianNB,77.52727272727273
147,neutral_disgust,neutral_disgust,neutral,distance,GaussianNB,95.85454545454546
148,neutral_disgust,neutral_disgust,disgust,distance,GaussianNB,84.61818181818181
149,neutral_disgust,neutral_disgust,neutral_disgust,distance,GaussianNB,95.78181818181818
150,neutral,neutral,neutral,distance,BaggingClassifier,88.94545454545454
151,neutral,neutral,disgust,distance,BaggingClassifier,77.74545454545455
152,neutral,neutral,neutral_disgust,distance,BaggingClassifier,87.34545454545454
153,neutral,disgust,neutral,distance,BaggingClassifier,50.981818181818184
154,neutral,disgust,disgust,distance,BaggingClassifier,31.636363636363633
155,neutral,disgust,neutral_disgust,distance,BaggingClassifier,48.14545454545454
156,disgust,neutral,neutral,distance,BaggingClassifier,38.61818181818182
157,disgust,neutral,disgust,distance,BaggingClassifier,22.036363636363635
158,disgust,neutral,neutral_disgust,distance,BaggingClassifier,32.581818181818186
159,disgust,disgust,neutral,distance,BaggingClassifier,89.3090909090909
160,disgust,disgust,disgust,distance,BaggingClassifier,77.67272727272727
161,disgust,disgust,neutral_disgust,distance,BaggingClassifier,87.4909090909091
162,neutral_disgust,neutral_disgust,neutral,distance,BaggingClassifier,95.4909090909091
163,neutral_disgust,neutral_disgust,disgust,distance,BaggingClassifier,87.3090909090909
164,neutral_disgust,neutral_disgust,neutral_disgust,distance,BaggingClassifier,95.92727272727274
165,neutral,neutral,neutral,distance,RandomForestClassifier,94.9090909090909
166,neutral,neutral,disgust,distance,RandomForestClassifier,86.03636363636363
167,neutral,neutral,neutral_disgust,distance,RandomForestClassifier,94.03636363636363
168,neutral,disgust,neutral,distance,RandomForestClassifier,66.47272727272727
169,neutral,disgust,disgust,distance,RandomForestClassifier,39.41818181818182
170,neutral,disgust,neutral_disgust,distance,RandomForestClassifier,63.41818181818182
171,disgust,neutral,neutral,distance,RandomForestClassifier,55.85454545454546
172,disgust,neutral,disgust,distance,RandomForestClassifier,27.054545454545455
173,disgust,neutral,neutral_disgust,distance,RandomForestClassifier,45.16363636363636
174,disgust,disgust,neutral,distance,RandomForestClassifier,96.72727272727273
175,disgust,disgust,disgust,distance,RandomForestClassifier,89.52727272727272
176,disgust,disgust,neutral_disgust,distance,RandomForestClassifier,97.30909090909091
177,neutral_disgust,neutral_disgust,neutral,distance,RandomForestClassifier,98.07272727272728
178,neutral_disgust,neutral_disgust,disgust,distance,RandomForestClassifier,91.92727272727274
179,neutral_disgust,neutral_disgust,neutral_disgust,distance,RandomForestClassifier,98.36363636363636
180,neutral,neutral,neutral,distance,GradientBoostingClassifier,71.7090909090909
181,neutral,neutral,disgust,distance,GradientBoostingClassifier,58.909090909090914
182,neutral,neutral,neutral_disgust,distance,GradientBoostingClassifier,74.03636363636365
183,neutral,disgust,neutral,distance,GradientBoostingClassifier,40.07272727272728
184,neutral,disgust,disgust,distance,GradientBoostingClassifier,23.2
185,neutral,disgust,neutral_disgust,distance,GradientBoostingClassifier,37.23636363636364
186,disgust,neutral,neutral,distance,GradientBoostingClassifier,28.363636363636356
187,disgust,neutral,disgust,distance,GradientBoostingClassifier,17.30909090909091
188,disgust,neutral,neutral_disgust,distance,GradientBoostingClassifier,25.018181818181816
189,disgust,disgust,neutral,distance,GradientBoostingClassifier,71.63636363636364
190,disgust,disgust,disgust,distance,GradientBoostingClassifier,57.96363636363636
191,disgust,disgust,neutral_disgust,distance,GradientBoostingClassifier,69.74545454545455
192,neutral_disgust,neutral_disgust,neutral,distance,GradientBoostingClassifier,81.63636363636364
193,neutral_disgust,neutral_disgust,disgust,distance,GradientBoostingClassifier,66.72727272727273
194,neutral_disgust,neutral_disgust,neutral_disgust,distance,GradientBoostingClassifier,81.49090909090908
195,neutral,neutral,neutral,distance,ExtraTreesClassifier,96.8
196,neutral,neutral,disgust,distance,ExtraTreesClassifier,86.9090909090909
197,neutral,neutral,neutral_disgust,distance,ExtraTreesClassifier,96.58181818181819
198,neutral,disgust,neutral,distance,ExtraTreesClassifier,76.5090909090909
199,neutral,disgust,disgust,distance,ExtraTreesClassifier,47.85454545454545
200,neutral,disgust,neutral_disgust,distance,ExtraTreesClassifier,75.34545454545454
201,disgust,neutral,neutral,distance,ExtraTreesClassifier,66.98181818181817
202,disgust,neutral,disgust,distance,ExtraTreesClassifier,33.81818181818181
203,disgust,neutral,neutral_disgust,distance,ExtraTreesClassifier,63.63636363636363
204,disgust,disgust,neutral,distance,ExtraTreesClassifier,98.61818181818181
205,disgust,disgust,disgust,distance,ExtraTreesClassifier,93.30909090909091
206,disgust,disgust,neutral_disgust,distance,ExtraTreesClassifier,99.12727272727273
207,neutral_disgust,neutral_disgust,neutral,distance,ExtraTreesClassifier,98.76363636363637
208,neutral_disgust,neutral_disgust,disgust,distance,ExtraTreesClassifier,92.87272727272727
209,neutral_disgust,neutral_disgust,neutral_disgust,distance,ExtraTreesClassifier,98.69090909090909
