,training_set,test_set,feature_set,feature_type,model_type,accuracy
73,neutral_sadness,neutral_sadness,sadness,distance,ExtraTreeClassifier,79.63636363636364
74,neutral_sadness,neutral_sadness,neutral_sadness,distance,ExtraTreeClassifier,85.2
75,neutral,neutral,neutral,distance,LogisticRegression,96.07272727272728
76,neutral,neutral,sadness,distance,LogisticRegression,96.36363636363637
77,neutral,neutral,neutral_sadness,distance,LogisticRegression,98.25454545454545
78,neutral,sadness,neutral,distance,LogisticRegression,81.89090909090909
79,neutral,sadness,sadness,distance,LogisticRegression,85.45454545454545
80,neutral,sadness,neutral_sadness,distance,LogisticRegression,93.0909090909091
81,sadness,neutral,neutral,distance,LogisticRegression,78.76363636363635
82,sadness,neutral,sadness,distance,LogisticRegression,78.69090909090909
83,sadness,neutral,neutral_sadness,distance,LogisticRegression,88.00000000000001
84,sadness,sadness,neutral,distance,LogisticRegression,98.9090909090909
85,sadness,sadness,sadness,distance,LogisticRegression,99.78181818181818
86,sadness,sadness,neutral_sadness,distance,LogisticRegression,100.0
87,neutral_sadness,neutral_sadness,neutral,distance,LogisticRegression,95.89090909090909
88,neutral_sadness,neutral_sadness,sadness,distance,LogisticRegression,96.94545454545455
89,neutral_sadness,neutral_sadness,neutral_sadness,distance,LogisticRegression,99.05454545454546
90,neutral,neutral,neutral,distance,Perceptron,60.509090909090915
91,neutral,neutral,sadness,distance,Perceptron,80.80000000000001
92,neutral,neutral,neutral_sadness,distance,Perceptron,90.1090909090909
93,neutral,sadness,neutral,distance,Perceptron,48.36363636363637
94,neutral,sadness,sadness,distance,Perceptron,63.56363636363637
95,neutral,sadness,neutral_sadness,distance,Perceptron,74.6909090909091
96,sadness,neutral,neutral,distance,Perceptron,50.54545454545455
97,sadness,neutral,sadness,distance,Perceptron,62.981818181818184
98,sadness,neutral,neutral_sadness,distance,Perceptron,68.43636363636364
99,sadness,sadness,neutral,distance,Perceptron,73.96363636363638
100,sadness,sadness,sadness,distance,Perceptron,91.63636363636363
101,sadness,sadness,neutral_sadness,distance,Perceptron,96.72727272727272
102,neutral_sadness,neutral_sadness,neutral,distance,Perceptron,69.34545454545454
103,neutral_sadness,neutral_sadness,sadness,distance,Perceptron,86.14545454545454
104,neutral_sadness,neutral_sadness,neutral_sadness,distance,Perceptron,96.0
105,neutral,neutral,neutral,distance,KNeighborsClassifier,55.12727272727271
106,neutral,neutral,sadness,distance,KNeighborsClassifier,57.81818181818183
107,neutral,neutral,neutral_sadness,distance,KNeighborsClassifier,55.27272727272727
108,neutral,sadness,neutral,distance,KNeighborsClassifier,53.090909090909086
109,neutral,sadness,sadness,distance,KNeighborsClassifier,50.32727272727272
110,neutral,sadness,neutral_sadness,distance,KNeighborsClassifier,52.290909090909096
111,sadness,neutral,neutral,distance,KNeighborsClassifier,45.81818181818182
112,sadness,neutral,sadness,distance,KNeighborsClassifier,40.29090909090909
113,sadness,neutral,neutral_sadness,distance,KNeighborsClassifier,41.74545454545454
114,sadness,sadness,neutral,distance,KNeighborsClassifier,55.41818181818181
115,sadness,sadness,sadness,distance,KNeighborsClassifier,48.65454545454545
116,sadness,sadness,neutral_sadness,distance,KNeighborsClassifier,44.07272727272728
